predict_date,predict_power_consumption
20161001,3082388 
20161002,3172281 
20161003,3327182 
20161004,3455481 
20161005,3400894 
20161006,3069718 
20161007,2881684 
20161008,3810548 
20161009,3467896 
20161010,3881687 
20161011,4014199 
20161012,3833851 
20161013,3875717 
20161014,3787345 
20161015,3744786 
20161016,3712806 
20161017,3792291 
20161018,3861129 
20161019,3965223 
20161020,3850977 
20161021,4022028 
20161022,3845135 
20161023,3609390 
20161024,3793574 
20161025,3790843 
20161026,3932661 
20161027,3920876 
20161028,4051675 
20161029,3767147 
20161030,3607176 
20161031,3871306 
