predict_date,predict_power_consumption
20161001,3739739
20161002,3727772
20161003,3526098
20161004,3345263
20161005,3801209
20161006,3644248
20161007,3570517
20161008,3580978
20161009,3730215
20161010,3634424
20161011,3402656
20161012,3704227
20161013,3752889
20161014,3762785
20161015,3124938
20161016,3273704
20161017,3484320
20161018,3840434
20161019,3899884
20161020,3929516
20161021,3999981
20161022,4002165
20161023,4027986
20161024,3892620
20161025,3770122
20161026,3982788
20161027,4166074
20161028,4035249
20161029,4102754
20161030,3825238
